ds,yhat,yhat_lower,yhat_upper
2017-12-30T00:00:00.000Z,3000.41958661,2639.9716501992,3363.5402233388
2017-12-31T00:00:00.000Z,3006.6686873035,2632.0281734424,3376.2021437025
2018-01-01T00:00:00.000Z,3048.9667210457,2657.4142416156,3429.5108534585
2018-01-02T00:00:00.000Z,3056.6218641826,2661.2923201039,3430.6346968371
2018-01-03T00:00:00.000Z,3059.5089613067,2664.5610097665,3446.5891890807
2018-01-04T00:00:00.000Z,3060.1934711616,2678.9900069332,3440.6642893831
2018-01-05T00:00:00.000Z,3072.2062062142,2687.1246691917,3451.6291452921
2018-01-06T00:00:00.000Z,3044.6859238177,2646.7622675903,3432.3460038033
2018-01-07T00:00:00.000Z,3047.6326868215,2649.3940607932,3373.2987118077
2018-01-08T00:00:00.000Z,3077.0067858,2714.2447049003,3474.3166487104
2018-01-09T00:00:00.000Z,3068.3621866273,2682.1050945326,3460.8544852373
2018-01-10T00:00:00.000Z,3073.3042253076,2686.152289461,3462.0379835851
2018-01-11T00:00:00.000Z,3078.9902751606,2696.7575116422,3458.2982121436
2018-01-12T00:00:00.000Z,3071.1664719836,2694.2826451576,3446.6571145003
2018-01-13T00:00:00.000Z,3057.8621669268,2696.7394044278,3440.98896275
2018-01-14T00:00:00.000Z,3028.6760757218,2644.1837428883,3395.7439458667
2018-01-15T00:00:00.000Z,3063.2244580342,2697.4523602133,3470.9571844534
2018-01-16T00:00:00.000Z,3050.7080047537,2661.8254596759,3421.9651224186
2018-01-17T00:00:00.000Z,3055.1882514176,2666.8285540968,3458.5650316307
2018-01-18T00:00:00.000Z,3076.2735260369,2703.2224787077,3475.5127395904
2018-01-19T00:00:00.000Z,3081.1998075476,2670.4271905062,3475.1087414069
2018-01-20T00:00:00.000Z,3090.4319966581,2710.7687989161,3443.2284650689
2018-01-21T00:00:00.000Z,3084.3265702953,2677.7807456421,3429.3648153303
2018-01-22T00:00:00.000Z,3105.3877518853,2744.1822084831,3472.0812152195
2018-01-23T00:00:00.000Z,3083.0776958157,2712.2160298557,3460.1697477537
2018-01-24T00:00:00.000Z,3065.9892419582,2692.3807683253,3458.9710934523
2018-01-25T00:00:00.000Z,3081.5848783345,2677.3436610879,3446.2525607142
2018-01-26T00:00:00.000Z,3090.8920609693,2722.7001922029,3465.8663822035
2018-01-27T00:00:00.000Z,3105.0588987838,2753.0950702712,3482.0583947349
2018-01-28T00:00:00.000Z,3092.0173406161,2720.500218515,3458.448504281
